qid,b1,b2,b3,b4,b5h,b9h
5a70f0195542994082a3e3fb,0.000000,0.516359,0.484196,0.499045,0.477827,0.621423
5a70f7b15542994082a3e45d,0.000000,0.968750,0.466845,0.506660,0.301460,0.343476
5a70f7bd5542994082a3e45e,0.000000,0.000000,0.000000,0.000000,0.875000,0.287144
5a710f665542994082a3e53e,0.000000,0.893750,0.937500,0.906250,0.875000,0.000000
5a710fff5542994082a3e547,0.279173,0.433586,0.000000,0.359762,0.327904,0.097113
5a711c315542994082a3e59a,0.312561,0.968750,0.487086,0.460291,0.329398,0.307944
5a711e815542994082a3e5a8,0.400057,0.555290,0.524040,0.538551,0.454743,0.906250
5a71204e5542994082a3e5b4,0.000000,0.590842,0.555215,0.580215,0.623965,0.528342
5a7123275542994082a3e5c5,0.000000,0.462190,0.000000,0.425222,0.443440,0.318440
5a7126345542994082a3e5d8,0.420956,0.539706,0.498987,0.383217,0.445956,0.387443
5a7126f75542994082a3e5de,0.000000,0.596750,0.650840,0.619590,0.588340,0.378000
5a71290a5542994082a3e5f5,0.447065,0.566660,0.545934,0.430519,0.397065,0.440815
5a7130485542994082a3e646,0.000000,0.968750,0.507500,0.682018,0.775000,0.937500
5a7136795542994082a3e677,0.850000,0.893750,0.862500,0.906250,0.800000,0.831250
5a7139765542994082a3e69c,0.273544,0.310685,0.289353,0.266204,0.227655,0.180253
5a713a445542994082a3e6a8,0.395836,0.433018,0.528304,0.397054,0.328621,0.229360
5a713a745542994082a3e6ac,0.308871,0.535878,0.500624,0.533784,0.521250,0.438024
5a713ba05542994082a3e6ba,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5a713c495542994082a3e6c4,0.000000,0.000000,0.384476,0.357500,0.321976,0.191294
5a713db15542994082a3e6d8,0.000000,0.968750,0.937500,0.968750,0.875000,0.452179
5a71439e5542994082a3e720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5a7144055542994082a3e723,0.265360,0.000000,0.386084,0.440671,0.439662,0.464380
5a7153ce5542994082a3e7db,0.000000,0.480219,0.000000,0.000000,0.000000,0.000000
5a717ca25542994082a3e852,0.000000,0.485391,0.451843,0.325482,0.299652,0.491470
5a7183c85542994082a3e861,0.000000,0.000000,0.656554,0.625304,0.507291,0.520130
5a72183555429971e9dc9264,0.000000,0.000000,0.484302,0.000000,0.434173,0.000000
5a72208455429971e9dc92a9,0.000000,0.389361,0.000000,0.000000,0.000000,0.000000
5a72279755429971e9dc92ff,0.000000,0.549205,0.480911,0.539542,0.661705,0.724205
5a7256c55542990c210a4109,0.000000,0.968750,0.524195,0.906250,0.955707,0.303250
5a7257ce5542990c210a410d,0.000000,0.893750,0.937500,0.968750,0.875000,0.000000
5a725f865542997f82783980,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000
5a7264a35542997f8278399c,0.000000,0.540889,0.500951,0.549490,0.551248,0.225611
5a726e1c5542992359bc3099,0.000000,0.000000,0.000000,0.501756,0.000000,0.000000
5a7276555542997f827839e5,0.000000,0.000000,0.000000,0.000000,0.307174,0.174518
5a7278025542994cef4bc2ba,0.000000,0.487750,0.457007,0.428372,0.513146,0.345134
5a727ffc5542991f9a20c49e,0.000000,0.000000,0.937500,0.906250,0.000000,0.000000
5a7284625542991f9a20c4bc,0.000000,0.968750,0.507570,0.475519,0.000000,0.373720
5a72858f5542991f9a20c4c6,0.000000,0.000000,0.000000,0.610178,0.578928,0.453928
5a7291195542991f9a20c4f0,0.000000,0.574770,0.492909,0.490742,0.572807,0.405409
5a7294025542992359bc3115,0.000000,0.000000,0.000000,0.460955,0.441304,0.000000
5a7294625542994cef4bc352,0.000000,0.000000,0.000000,0.000000,0.875000,0.750000
5a7299e85542991f9a20c525,0.563340,0.694398,0.361755,0.331342,0.405362,0.278131
5a72a1c555429901807daf1a,0.000000,0.442610,0.312644,0.937500,0.775000,0.906250
5a72a3cc5542992359bc314a,0.000000,0.000000,0.937500,0.496114,0.875000,0.387293
5a72a8b25542992359bc3154,0.429427,0.548177,0.516927,0.896875,0.454714,0.968750
5a72b21f5542991f9a20c56e,0.000000,0.422992,0.937500,0.000000,0.407704,0.000000
5a72b67a5542991f9a20c57d,0.000000,0.444439,0.383786,0.671250,0.666250,0.603750
5a72b7505542991f9a20c582,0.364258,0.392228,0.459797,0.427753,0.352187,0.319547
5a72bb1a5542991f9a20c58e,0.000000,0.968750,0.937500,0.352537,0.423184,0.298184
5a72c4785542992359bc31a4,0.366749,0.501238,0.369369,0.430050,0.401263,0.276833
5a72c74d5542994cef4bc403,0.381961,0.433541,0.471251,0.340001,0.409484,0.289791
5a72cfc255429901807daf46,0.000000,0.968750,0.937500,0.906250,0.427683,0.650000
5a72d57a5542991f9a20c5b6,0.000000,0.000000,0.481904,0.000000,0.000000,0.364375
5a72f56f5542992359bc31ea,0.360084,0.000000,0.443382,0.419797,0.383759,0.395690
5a72f99c5542992359bc31f0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5a72fd705542992359bc31f5,0.000000,0.000000,0.000000,0.446918,0.000000,0.562911
5a7304be5542994cef4bc422,0.284484,0.000000,0.000000,0.000000,0.000000,0.000000
5a73095955429901807daf6f,0.000000,0.669331,0.472953,0.000000,0.471966,0.418607
5a730a2155429901807daf71,0.850000,0.277071,0.314798,0.358051,0.336148,0.335677
5a7310945542992359bc3223,0.373836,0.000000,0.000000,0.419948,0.000000,0.000000
5a73119c5542992359bc3225,0.473075,0.573566,0.523989,0.540057,0.476975,0.254816
5a7311fc55429901807daf77,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5a73176255429901807daf80,0.272527,0.400306,0.000000,0.373311,0.332172,0.000000
5a73207e5542992359bc323c,0.000000,0.000000,0.937500,0.000000,0.426307,0.000000
5a7321e55542994cef4bc46e,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5a7321ea5542994cef4bc46f,0.364492,0.000000,0.371498,0.345813,0.392635,0.447218
5a7327e155429901807daf96,0.000000,0.000000,0.000000,0.000000,0.000000,0.414919
5a732cfc5542992359bc325f,0.000000,0.000000,0.454306,0.444358,0.306495,0.287121
5a732f785542991f9a20c675,0.316459,0.516080,0.837500,0.471033,0.860714,0.314783
5a73316b5542992359bc327b,0.000000,0.457083,0.500833,0.400646,0.500833,0.500833
5a7333ee5542994cef4bc4b8,0.000000,0.404811,0.465175,0.000000,0.401019,0.414331
5a73346e5542994cef4bc4bb,0.000000,0.000000,0.509182,0.401272,0.468222,0.345022
5a7334715542994cef4bc4bc,0.000000,0.000000,0.000000,0.549618,0.000000,0.565790
5a73492b5542994cef4bc506,0.000000,0.893750,0.469397,0.000000,0.000000,0.447475
5a734c4d5542994cef4bc516,0.266901,0.443750,0.412500,0.381250,0.000000,0.350000
5a735a1555429901807dafdd,0.284603,0.000000,0.353750,0.327787,0.000000,0.181120
5a73603955429901807db017,0.380041,0.419667,0.500988,0.423478,0.441550,0.347829
5a73640d5542991f29ee2dd8,0.000000,0.968750,0.520421,0.906250,0.457921,0.750000
5a73649f55429901807db023,0.000000,0.489378,0.456726,0.490118,0.602090,0.370284
5a7365b255429901807db02b,0.850000,0.893750,0.762500,0.831250,0.790625,0.665625
5a73664d5542991f29ee2de1,0.405820,0.000000,0.000000,0.000000,0.538410,0.445105
5a736ca055429901807db048,0.000000,0.618607,0.562689,0.649522,0.532121,0.506051
5a736efc55429901807db05b,0.000000,0.968750,0.893750,0.345437,0.906250,0.937500
5a736ff65542991f29ee2e1b,0.000000,0.357620,0.430390,0.471706,0.367727,0.893750
5a7382d155429905862fe047,0.363487,0.374653,0.357422,0.313179,0.289912,0.274833
5a73834a55429908901be2db,0.000000,0.519643,0.494127,0.525743,0.760170,0.527966
5a73897e554299623ed4abe2,0.403317,0.000000,0.000000,0.000000,0.428176,0.434898
5a738c1d554299623ed4abef,0.275612,0.350565,0.319043,0.256249,0.399323,0.400752
5a738d21554299623ed4abf2,0.000000,0.506860,0.724305,0.500000,0.468750,0.185921
5a73931155429905862fe064,0.000000,0.893750,0.862500,0.338596,0.875000,0.750000
5a739b985542992d56e7e374,0.000000,0.968750,0.937500,0.906250,0.875000,0.206445
5a739c75554299623ed4ac0a,0.000000,0.000000,0.464708,0.436588,0.464708,0.275906
5a739f155542992d56e7e37c,0.000000,0.000000,0.000000,0.468331,0.000000,0.347119
5a739f8a55429978a71e904c,0.000000,0.564590,0.522724,0.524285,0.470840,0.398364
