timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/04 04:06:04.506, 0, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:04.512, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:04.518, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:04.523, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:04.528, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:04.533, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:04.538, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:04.543, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.549, 0, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.589, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.590, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.590, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.590, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.590, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.591, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:14.591, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.592, 0, 14935 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.593, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.593, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.594, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.594, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.594, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.594, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:24.595, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.595, 0, 14935 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.596, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.596, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.596, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.596, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.597, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.597, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:34.597, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:44.598, 0, 14941 MiB, 81920 MiB, 77 %
2026/07/04 04:06:44.598, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:44.599, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:44.599, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:44.599, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:44.599, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:44.600, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:44.600, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.601, 0, 14943 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.601, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.602, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.602, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.602, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.602, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.603, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:06:54.603, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.604, 0, 14953 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.604, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.605, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.605, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.605, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.605, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.606, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:04.606, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.607, 0, 14953 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.607, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.608, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.608, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.608, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.608, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.609, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:14.609, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.610, 0, 14953 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.610, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.611, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.611, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.611, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.611, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.612, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:24.612, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.613, 0, 14953 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.613, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.614, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.614, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.614, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.614, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.615, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:34.615, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.616, 0, 14953 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.616, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.616, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.617, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.617, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.617, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.617, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:44.617, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.618, 0, 14953 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.618, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.619, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.619, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.619, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.620, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.620, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:07:54.620, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:04.621, 0, 14955 MiB, 81920 MiB, 63 %
2026/07/04 04:08:04.621, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:04.622, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:04.622, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:04.622, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:04.622, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:04.623, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:04.623, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.624, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.624, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.625, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.625, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.625, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.625, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.626, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:14.626, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:24.627, 0, 14955 MiB, 81920 MiB, 77 %
2026/07/04 04:08:24.627, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:24.627, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:24.628, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:24.628, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:24.628, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:24.628, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:24.629, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.629, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.630, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.630, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.630, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.631, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.631, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.631, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:34.632, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:44.632, 0, 14955 MiB, 81920 MiB, 61 %
2026/07/04 04:08:44.633, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:44.633, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:44.633, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:44.634, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:44.634, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:44.634, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:44.635, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:54.635, 0, 14955 MiB, 81920 MiB, 72 %
2026/07/04 04:08:54.636, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:54.636, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:54.636, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:54.637, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:54.637, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:54.637, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:08:54.638, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:04.638, 0, 14955 MiB, 81920 MiB, 72 %
2026/07/04 04:09:04.639, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:04.639, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:04.640, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:04.640, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:04.640, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:04.640, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:04.641, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.641, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.642, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.642, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.642, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.643, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.643, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.643, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:14.644, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.644, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.645, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.645, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.645, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.646, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.646, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.646, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:24.646, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.647, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.648, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.648, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.648, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.648, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.649, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.649, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:34.649, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.650, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.650, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.651, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.651, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.651, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.652, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.652, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:44.652, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.653, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.653, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.654, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.654, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.654, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.654, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.655, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:09:54.655, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:04.655, 0, 14955 MiB, 81920 MiB, 58 %
2026/07/04 04:10:04.656, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:04.656, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:04.657, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:04.657, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:04.657, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:04.657, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:04.658, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.658, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.659, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.659, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.659, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.660, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.660, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.660, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:14.660, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.661, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.661, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.662, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.662, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.662, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.663, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.663, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:24.663, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:34.664, 0, 14955 MiB, 81920 MiB, 77 %
2026/07/04 04:10:34.664, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:34.664, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:34.665, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:34.665, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:34.665, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:34.666, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:34.666, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.666, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.667, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.667, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.667, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.668, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.668, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.668, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:44.668, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.669, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.669, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.670, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.670, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.670, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.671, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.671, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:10:54.671, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.672, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.672, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.673, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.674, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:04.674, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.675, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.675, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.675, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.676, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.676, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.676, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.677, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:14.677, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.678, 0, 14955 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.678, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.679, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.679, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.679, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.680, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.680, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:24.680, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.681, 0, 14955 MiB, 81920 MiB, 66 %
2026/07/04 04:11:34.681, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.682, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 04:11:34.682, 3, 0 MiB, 81920 MiB, 0 %
