timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/04 01:08:43.792, 0, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:43.796, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:43.801, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:43.805, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:43.808, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:43.813, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:43.818, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:43.823, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:53.828, 0, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:54.058, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:54.059, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:54.059, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:54.059, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:54.060, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:54.060, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:08:54.061, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.062, 0, 5947 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.062, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.062, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.063, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.063, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.063, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.063, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:04.064, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:14.064, 0, 5947 MiB, 81920 MiB, 53 %
2026/07/04 01:09:14.065, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:14.065, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:14.066, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:14.066, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:14.066, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:14.067, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:14.067, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.067, 0, 5947 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.068, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.068, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.068, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.069, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.069, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.069, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:24.070, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.070, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.071, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.071, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.071, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.072, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.072, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.072, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:34.072, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.073, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.074, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.074, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.074, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.075, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.075, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.075, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:44.075, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.076, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.077, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.077, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.077, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.077, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.078, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.078, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:09:54.078, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.079, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.079, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.080, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.080, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.080, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.080, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.081, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:04.081, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.082, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.082, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.082, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.083, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.083, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.083, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.084, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:14.084, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:24.084, 0, 5949 MiB, 81920 MiB, 75 %
2026/07/04 01:10:24.085, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:24.085, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:24.085, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:24.086, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:24.086, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:24.086, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:24.087, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.087, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.088, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.088, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.088, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.088, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.089, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.089, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:34.089, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.090, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.090, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.091, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.091, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.091, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.092, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.092, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:44.092, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.093, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.093, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.094, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.094, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.094, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.094, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.095, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:10:54.095, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.096, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.096, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.096, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.097, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.097, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.097, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.097, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:04.097, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.098, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.098, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.098, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.099, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.099, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.099, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.099, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:14.100, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.100, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.101, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.101, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.101, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.102, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.102, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.102, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:24.103, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.103, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.104, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.104, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.104, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.104, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.105, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.105, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:34.105, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.106, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.106, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.107, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.107, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.107, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.107, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.108, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:44.108, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.108, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.109, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.109, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.109, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.109, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.110, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.110, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:11:54.110, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.110, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.111, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.111, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.111, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.112, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.112, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.112, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:04.112, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.113, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.114, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.114, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.114, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.114, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.115, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.115, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:14.115, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.116, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.116, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.116, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.117, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.117, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.117, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.118, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:24.118, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.118, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.119, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.119, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.119, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.120, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.120, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.120, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:34.120, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.121, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.121, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.122, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.122, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.122, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.122, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.123, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:44.123, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.123, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.124, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.124, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.124, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.125, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.125, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.125, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:12:54.126, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.126, 0, 5949 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.127, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.127, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.127, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.127, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.128, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.128, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:04.128, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:14.129, 0, 5949 MiB, 81920 MiB, 54 %
2026/07/04 01:13:14.129, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:13:14.130, 2, 0 MiB, 81920 MiB, 0 %
