timestamp, index, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/04 01:04:17.122, 0, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:17.125, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:17.129, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:17.134, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:17.140, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:17.145, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:17.150, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:17.154, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:27.159, 0, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:27.342, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:27.342, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:27.342, 3, 0 MiB, 81920 MiB, 7 %
2026/07/04 01:04:27.343, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:27.343, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:27.344, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:27.345, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.345, 0, 13575 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.346, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.346, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.346, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.346, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.347, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.347, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:37.347, 7, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:47.348, 0, 13575 MiB, 81920 MiB, 70 %
2026/07/04 01:04:47.349, 1, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:47.349, 2, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:47.350, 3, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:47.350, 4, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:47.350, 5, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:47.350, 6, 0 MiB, 81920 MiB, 0 %
2026/07/04 01:04:47.351, 7, 0 MiB, 81920 MiB, 0 %
